시설명,종류,주소,도로명,지번주소,위도,경도,법정동
동명초 놀이시설,학교,서울특별시 성동구 마장로29길 29 (마장동),서울특별시 성동구 마장로29길 29 (마장동),서울특별시 성동구 마장동 556 동명초등학교,37.56862195,127.0357063,서울특별시 성동구 마장동
사근초 놀이시설,학교,서울특별시 성동구 사근동11길 16 (사근동),서울특별시 성동구 사근동11길 16 (사근동),서울특별시 성동구 사근동 291-5 사근초등학교,37.56290727,127.047742,서울특별시 성동구 사근동
한양초 놀이시설2,학교,서울특별시 성동구 살곶이길 208 (사근동),서울특별시 성동구 살곶이길 208 (사근동),서울특별시 성동구 사근동 120-2 한양초등학교,37.55670101,127.0368185,서울특별시 성동구 사근동
한양초 놀이시설1,학교,서울특별시 성동구 살곶이길 208 (사근동),서울특별시 성동구 살곶이길 208 (사근동),서울특별시 성동구 사근동 120-2 한양초등학교,37.55670101,127.0368185,서울특별시 성동구 사근동
경동초 놀이시설,학교,서울특별시 성동구 성수일로 34 (성수동1가),서울특별시 성동구 성수일로 34 (성수동1가),서울특별시 성동구 성수동1가 19-1 경동초등학교,37.54301213,127.0505162,서울특별시 성동구 성수동1가
경일초 놀이시설,학교,서울특별시 성동구 뚝섬로 332 (성수동1가),서울특별시 성동구 뚝섬로 332 (성수동1가),서울특별시 성동구 성수동1가 656-32 경일초등학교,37.54046133,127.0471266,서울특별시 성동구 성수동1가
성수초병유 놀이시설,학교,서울특별시 성동구 아차산로17길 21 (성수동2가)서울성수초등학교실내놀이터,서울특별시 성동구 아차산로17길 21 (성수동2가),서울특별시 성동구 성수동2가 277-32 성수초등학교,37.5442547,127.0634369,서울특별시 성동구 성수동2가
성수초 놀이시설,학교,서울특별시 성동구 아차산로17길 21 (성수동2가),서울특별시 성동구 아차산로17길 21 (성수동2가),서울특별시 성동구 성수동2가 277-32 성수초등학교,37.5442547,127.0634369,서울특별시 성동구 성수동2가
경수초 놀이시설,학교,서울특별시 성동구 뚝섬로13길 22 (성수동2가),서울특별시 성동구 뚝섬로13길 22 (성수동2가),서울특별시 성동구 성수동2가 268 경수초등학교,37.53981902,127.0583129,서울특별시 성동구 성수동2가
송원초 놀이시설2(BTL),학교,서울특별시 성동구 동일로43길 9 (송정동),서울특별시 성동구 동일로43길 9 (송정동),서울특별시 성동구 송정동 72-8 송원초등학교,37.55406815,127.0693966,서울특별시 성동구 송정동
